,plant,df_fraction,best_threshold,roc_auc,pr_auc,f1,average_precision,norm_fraction,total_scored,total_plant
daucus carota,daucus carota,10,1269.559019389999,0.5833333333333334,0.7,0.5714285714285715,0.4,0.0,2078,3328
daucus carota,daucus carota,60,443.5345274,0.5916149068322981,0.6166666666666667,0.37837837837837834,0.23333333333333334,0.03,2078,3328
daucus carota,daucus carota,110,276.8342496,0.6350491613649508,0.5863636363636364,0.2945736434108527,0.17272727272727273,0.05,2078,3328
daucus carota,daucus carota,160,212.476667,0.7091469681397738,0.565625,0.23204419889502761,0.13125,0.08,2078,3328
daucus carota,daucus carota,210,154.24426,0.7603965183752418,0.5523809523809524,0.1896551724137931,0.10476190476190476,0.1,2078,3328
daucus carota,daucus carota,260,154.24426,0.7441737288135593,0.5461538461538462,0.16901408450704225,0.09230769230769231,0.13,2078,3328
daucus carota,daucus carota,310,154.24426,0.7618245614035088,0.5403225806451613,0.1492537313432836,0.08064516129032258,0.15,2078,3328
daucus carota,daucus carota,360,154.24426,0.6775757575757575,0.5416666666666666,0.15384615384615385,0.08333333333333333,0.17,2078,3328
daucus carota,daucus carota,410,154.24426,0.5771788341822298,0.5463414634146342,0.16964285714285712,0.09268292682926829,0.2,2078,3328
daucus carota,daucus carota,460,132.514,0.5825135339658888,0.5445652173913044,0.16367265469061876,0.0891304347826087,0.22,2078,3328
daucus carota,daucus carota,510,132.514,0.5863246195864222,0.5431372549019607,0.1588447653429603,0.08627450980392157,0.25,2078,3328
daucus carota,daucus carota,560,132.514,0.5744222005208333,0.5428571428571428,0.15789473684210528,0.08571428571428572,0.27,2078,3328
daucus carota,daucus carota,610,132.514,0.5997671795991123,0.5401639344262295,0.14871016691957514,0.08032786885245902,0.29,2078,3328
daucus carota,daucus carota,660,132.514,0.5737073707370737,0.5409090909090909,0.15126050420168066,0.08181818181818182,0.32,2078,3328
daucus carota,daucus carota,710,132.514,0.5474102564102564,0.5422535211267605,0.15584415584415587,0.08450704225352113,0.34,2078,3328
daucus carota,daucus carota,760,30.5790063,0.5517751816173624,0.5414473684210527,0.1530984204131227,0.08289473684210526,0.37,2078,3328
daucus carota,daucus carota,810,30.5790063,0.5640887971089313,0.5401234567901234,0.14857142857142858,0.08024691358024691,0.39,2078,3328
daucus carota,daucus carota,860,30.5790063,0.5738269560143795,0.538953488372093,0.14455231930960089,0.07790697674418605,0.41,2078,3328
daucus carota,daucus carota,910,30.5790063,0.5906629872851754,0.5373626373626373,0.1390593047034765,0.07472527472527472,0.44,2078,3328
daucus carota,daucus carota,960,30.5790063,0.5964526484751205,0.5364583333333334,0.13592233009708737,0.07291666666666667,0.46,2078,3328
daucus carota,daucus carota,1010,30.5790063,0.6003168680407486,0.5356435643564357,0.133086876155268,0.07128712871287128,0.49,2078,3328
daucus carota,daucus carota,1060,20.639893,0.5795272885812052,0.5052544158588196,0.13150684931506848,0.07085123980071527,0.51,2078,3328
daucus carota,daucus carota,1110,20.639893,0.5769053398058253,0.48896706136391793,0.13114754098360656,0.07086143117577302,0.53,2078,3328
daucus carota,daucus carota,1160,14.977753,0.5816722476130142,0.478698192831803,0.13090909090909092,0.07072237157572443,0.56,2078,3328
daucus carota,daucus carota,1210,14.977753,0.5853685612788633,0.4688935640176933,0.1306715063520871,0.07054042581815398,0.58,2078,3328
daucus carota,daucus carota,1260,7.3599853,0.5888881185373005,0.4595236644786606,0.13043478260869565,0.07032434270977697,0.61,2078,3328
daucus carota,daucus carota,1310,7.3599853,0.6056819045447637,0.4593116203734867,0.13043478260869565,0.06990025449942923,0.63,2078,3328
daucus carota,daucus carota,1360,7.3599853,0.6068601700971985,0.4503367197923999,0.1301989150090416,0.06963218221741277,0.65,2078,3328
daucus carota,daucus carota,1410,7.3599853,0.6148431984621796,0.4458862085771125,0.13008130081300812,0.06927401756039703,0.68,2078,3328
