,average,experiment,inchi key,inchi_keys,mass,no_reactions,plant,sum,sum_class
prunus persica,1.5566396853861004,0.0,BAWFJGJZGIEFAR,"{'BAWFJGJZGIEFAR-NNYOXOHSSA-O', 'BAWFJGJZGIEFAR-NNYOXOHSSA-M'}",662.4,259.0,prunus persica,403.1696785150002,1.0
prunus persica,-103.36208,1.0,SUHOQUVVVLNYQR,"{'SUHOQUVVVLNYQR-MRVPVSSYSA-N', 'SUHOQUVVVLNYQR-MRVPVSSYSA-O'}",257.22,2.0,prunus persica,-206.72416,0.0
prunus persica,-11.1935425,0.0,OGQJUYXFIOFTMA,{'OGQJUYXFIOFTMA-PBJLWWPKSA-N'},412.7,1.0,prunus persica,-11.1935425,0.0
prunus persica,1.49685292,1.0,BITYXLXUCSKTJS,"{'BITYXLXUCSKTJS-ZETCQYMHSA-N', 'BITYXLXUCSKTJS-ZETCQYMHSA-L'}",176.17,5.0,prunus persica,7.4842645999999995,1.0
prunus persica,-3.204148325,0.0,AUTOLBMXDDTRRT,"{'AUTOLBMXDDTRRT-UHFFFAOYSA-M', 'AUTOLBMXDDTRRT-UHFFFAOYSA-N'}",213.25,4.0,prunus persica,-12.816593300000001,0.0
prunus persica,-4.275902,0.0,DZHSPYMHDVROSM,{'DZHSPYMHDVROSM-UHFFFAOYSA-M'},213.29,1.0,prunus persica,-4.275902,0.0
prunus persica,1.3511659999999996,0.0,CVENNDDRCHLONB,{'CVENNDDRCHLONB-UHFFFAOYSA-K'},459.3,2.0,prunus persica,2.7023319999999993,1.0
prunus persica,11.243748060854285,1.0,DJJCXFVJDGTHFX,"{'DJJCXFVJDGTHFX-XVFCMESISA-N', 'DJJCXFVJDGTHFX-XVFCMESISA-L'}",324.18,28.0,prunus persica,314.82494570392,1.0
prunus persica,-6.2734375,0.0,OMQGPSILOWIPLU,{'OMQGPSILOWIPLU-UHFFFAOYSA-J'},618.5,2.0,prunus persica,-12.546875,0.0
prunus persica,5.18750016923077,0.0,LSNNMFCWUKXFEE,"{'LSNNMFCWUKXFEE-UHFFFAOYSA-N', 'LSNNMFCWUKXFEE-UHFFFAOYSA-L', 'LSNNMFCWUKXFEE-UHFFFAOYSA-M'}",80.07,13.0,prunus persica,67.43750220000001,1.0
prunus persica,-55.65,0.0,ULSSSZOYSMVFIJ,{'ULSSSZOYSMVFIJ-NPQUFKRBSA-N'},628.7,1.0,prunus persica,-55.65,0.0
prunus persica,0.34652750000000054,0.0,XXYQDXFKXSZMJO,{'XXYQDXFKXSZMJO-AVCSPELISA-N'},442.7,2.0,prunus persica,0.6930550000000011,1.0
prunus persica,-10.66,0.0,XZYNVQDKYRHKFG,{'XZYNVQDKYRHKFG-QOJZHLSOSA-N'},1108.1,1.0,prunus persica,-10.66,0.0
prunus persica,16.956995,0.0,UELITFHSCLAHKR,{'UELITFHSCLAHKR-UHFFFAOYSA-N'},210.3,1.0,prunus persica,16.956995,1.0
prunus persica,-70.29865000000001,0.0,FIHXCHBEHLCXEG,{'FIHXCHBEHLCXEG-YEFHWUCQSA-N'},379.5,2.0,prunus persica,-140.59730000000002,0.0
prunus persica,-22.660011,0.0,ZKZBPNGNEQAJSX,{'ZKZBPNGNEQAJSX-REOHCLBHSA-N'},168.06,1.0,prunus persica,-22.660011,0.0
prunus persica,1.1460111333333336,0.0,LUKBXSAWLPMMSZ,{'LUKBXSAWLPMMSZ-OWOJBTEDSA-N'},228.24,3.0,prunus persica,3.438033400000002,1.0
prunus persica,7.924384999999999,0.0,AYFXPGXAZMFWNH,"{'AYFXPGXAZMFWNH-ONEGZZNKSA-M', 'AYFXPGXAZMFWNH-ARJAWSKDSA-N', 'AYFXPGXAZMFWNH-ARJAWSKDSA-M', 'AYFXPGXAZMFWNH-ONEGZZNKSA-N'}",140.09,4.0,prunus persica,31.697539999999996,1.0
prunus persica,-1.8819369999999997,0.0,XFVULMDJZXYMSG,"{'XFVULMDJZXYMSG-ZIYNGMLESA-N', 'XFVULMDJZXYMSG-ZIYNGMLESA-K'}",336.17,4.0,prunus persica,-7.527747999999999,0.0
prunus persica,-0.022112666666667113,0.0,MCKAJXMRULSUKI,"{'MCKAJXMRULSUKI-CNWJWELYSA-J', 'MCKAJXMRULSUKI-CNWJWELYSA-N'}",340.12,3.0,prunus persica,-0.06633800000000134,0.0
prunus persica,1.1135254,0.0,VRCBYTZZZFFKEN,{'VRCBYTZZZFFKEN-RBZNUJCTSA-M'},531.4,1.0,prunus persica,1.1135254,1.0
